Date,Close,High,Low,Open,Volume,Ticker,Daily_Return,MA_20,MA_50,Volatility_20
2025-01-15,236.79901123046875,237.88411516800545,233.3744970274307,233.5835582088168,39832000,AAPL,,,,
2025-01-16,227.23228454589844,236.9383864807084,227.0033243432251,236.28136958651152,71759100,AAPL,-0.040400196921681064,,,
2025-01-17,228.9445343017578,231.24413133243607,227.4512878984511,231.07489856287185,68488300,AAPL,0.007535239806619742,,,
2025-01-21,221.6375732421875,223.40955766052627,218.39225670760806,222.9914505136237,98070400,AAPL,-0.03191585718285572,,,
2025-01-22,222.82223510742188,223.1109227348787,218.80041619812283,218.80041619812283,64126500,AAPL,0.005345040770410758,,,
2025-01-23,222.65301513671875,226.0078374632505,221.29913768199057,223.72815445577547,60234800,AAPL,-0.0007594393379167785,,,
2025-01-24,221.77694702148438,224.614121166801,220.4131202139208,223.76794215782238,54697900,AAPL,-0.003934678875542885,,,
2025-01-27,228.82508850097656,231.10477141655377,222.9715575076631,223.01138591977585,94863400,AAPL,0.031780316097549166,,,
2025-01-28,237.187255859375,239.1085741517517,229.77080167884077,229.81063008981926,75707600,AAPL,0.03654392712433174,,,
2025-01-29,238.2823028564453,238.78005164957875,232.9563846938824,233.06589003597526,45486100,AAPL,0.004616803685774551,,,
2025-01-30,236.520263671875,239.70585285329432,236.14198492507634,237.59540286874542,55658300,AAPL,-0.007394754723483832,,,
2025-01-31,234.9374237060547,246.0770438113447,232.38895238779278,246.0770438113447,100959800,AAPL,-0.00669219601419091,,,
2025-02-03,226.9833984375,230.78620649590428,224.6838014511222,228.95449458875606,73063300,AAPL,-0.033855931264941796,,,
2025-02-04,231.7518310546875,232.08034706669682,225.62951205101965,226.2268166528706,45067300,AAPL,0.021007847490222886,,,
2025-02-05,231.42332458496094,231.62242106375825,227.24223776986636,227.50106167329415,39620300,AAPL,-0.001417492445395352,,,
2025-02-06,232.16995239257812,232.74734282564026,229.39250557129796,230.24863411824003,29925300,AAPL,0.0032262426829974267,,,
2025-02-07,226.60511779785156,232.94643248808816,226.23677336593994,231.5527419594936,39707200,AAPL,-0.023968797587195723,,,
2025-02-10,226.8741912841797,229.80417456619486,226.42572786906877,228.7876615470872,33115600,AAPL,0.0011874113389096497,,,
2025-02-11,231.8272705078125,234.42837673351212,227.3525813044295,227.42233485023965,53718400,AAPL,0.021831831975231752,,,
2025-02-12,236.06277465820312,236.15247950770552,229.89386689621963,230.41209906543347,45243300,AAPL,0.018270085918334233,230.06578979492187,,
2025-02-13,240.70687866210938,241.5141157963719,234.76719850951847,236.10262821821914,53614100,AAPL,0.019673173843823832,230.2611831665039,,0.021238493908973845
2025-02-14,243.76646423339844,244.71322380546283,240.16876569412125,240.427874198087,40896200,AAPL,0.012710835636666307,231.0878921508789,,0.01898603799314636
2025-02-18,243.6368865966797,244.34445851454996,241.01584434943877,243.31796980618805,48822500,AAPL,-0.0005315646560581921,231.822509765625,,0.018985724311293268
2025-02-19,244.03549194335938,245.17160627919233,242.3313280430039,243.8262161273519,32204200,AAPL,0.0016360632096712457,232.9424057006836,,0.017100249905060632
2025-02-20,244.9922332763672,245.9389927126525,243.45747295470235,244.1052669318995,32316900,AAPL,0.00392050076564221,234.05090560913087,,0.017101544822346257
2025-02-21,244.71319580078125,247.84249441981407,244.38431857946645,245.11182656230832,53197400,AAPL,-0.0011389645779961155,235.15391464233397,,0.01710835564190085
2025-02-24,246.25791931152344,248.01191597096326,243.58704451830639,244.0953010258401,51326400,AAPL,0.006312383382871323,236.37796325683593,,0.016983670799583416
2025-02-25,246.1981201171875,249.14803959700342,244.0753891604379,247.15485528022737,48013300,AAPL,-0.0002428315584860341,237.2466148376465,,0.01583500258531516
2025-02-26,239.5408935546875,244.14514449402503,238.3150894487839,243.49736566903925,44433600,AAPL,-0.02704011939380868,237.36429672241212,,0.015285112230574738
